ano,Paraguai,Estados Unidos,Rússia,Japão,Angola,Reino Unido
2009,486927,372319,21912914,217974,54786,30092
2010,510989,228968,0,112178,33557,123624
2011,240168,306787,0,100835,13889,122629
2012,354824,146585,4528176,29281,2833,82937
2013,481564,245368,5893291,91988,1573,59161
2014,521847,222267,190656,106426,12182,305807
2015,495428,195896,47664,31597,1908,68382
2016,985739,258072,0,34341,7359,117044
2017,2393468,132688,0,33909,10170,60711
2018,3234168,169109,0,36992,477,67708
2019,2419537,209765,0,40621,345,34295
2020,3299013,300178,1463,36442,0,22913
2021,6522527,111085,181931,39491,0,25316
2022,5076670,220373,66046,37324,4068,18835
2023,3780378,229839,0,22942,0,11326
2024,3705268,310410,56,29320,0,14780
