ano;VINHO DE MESA
1970;217208604
1971;154264651
1972;146953297
1973;116710345
1974;193875345
1975;177401209
1976;144565438
1977;195359778
1978;200053669
1979;211252982
1980;130308185
1981;186129728
1982;234754564
1983;120261544
1984;177680331
1985;275338955
1986;157711522
1987;150467184
1988;244791058
1989;181801961
1990;210548199
1991;126768254
1992;163248419
1993;171754995
1994;202073263
1995;214788304
1996;152917771
1997;182816047
1998;150814943
1999;226520776
2000;273025576
2001;228932458
2002;259589740
2003;202545724
2004;313962284
2005;226080432
2006;185100887
2007;275287908
2008;287506811
2009;205418206
2010;195267980
2011;257840749
2012;212777037
2013;196904222
2014;196173123
2015;210308560
2016;86319015
2017;255015187
2018;218375636
2019;144629737
2020;124200414
2021;173899995
2022;195031611
2023;169762429
